238968,751345731
1448907,86386471
66890,6518982623
1180941,29395769
425524,486710804
6586160,23394992
113182,915915845
2528006,00488307
425430,933479407
159574,703880581
368512,629679989
1291650,05457123
586560,647126348
781372,964726675
1293218,51005427
98799,1419819976
2499498,64690959
915309,411851192
384813,09957698
113304,802442661
2896970,1311285
234741,444892891
2187953,58694612
562669,873767892
14948,9765722643
372909,08489366
1509665,12654495
475605,790322766
2320412,77441387
389698,571758644
1155786,86142191
321406,970476905
959825,457798923
1424798,68087543
203730,748710153
99420,5836730705
480212,306135953
238335,21215487
9532716,69791693
51598,8406272258
1677531,8477855
190465,787738172
1774262,53790426
499795,076999259
218509,750093282
12128,2831662044
20782,4173565936
143478,844106323
17449,8180309903
685553,99750212
44470,4714471106
81914,1202601754
27241,7442900802
83479,5914968355
1262485,57505284
97554,694400893
3094717,64441118
93032,2330443914
312694,068486953
701510,275970923
509213,346586387
2628502,18011766
127213,587009056
219069,235645952
53436,4004714931
6419493,65664911
2521678,4480509
167829,764899299
4256168,58769856
149953,277004131
50382,4186866758
1259776,27262369
1032489,01486167
40585,1735098351
622294,318567131
4089078,05783959
86760,9426166177
975215,582060397
285256,777899718
2200136,79197671
2441441,86260107
883329,74359925
397082,119270428
150684,992054588
521568,537053063
48277,5574904504
598031,123797115
2465668,84420283
833158,358410061
2406249,40399071
166509,644588675
5845215,46449504
2143064,41510257
2970673,70713383
306346,488119768
500642,613165738
397696,180340862
65664,4779454334
104921,283972461
253920,748029999
18244,8308021122
117138,523424003
6704769,31619487
122112,71552036
12268374,2097103
764259,809643597
123378,882387282
665379,390139467
347983,41321659
9379587,37011633
2330469,76904562
12027,3778499437
422299,121746808
692341,131673541
415772,345049409
569929,39762295
555728,761457557
2810033,34790469
1235312,1394144
3551911,56841404
190159,622912463
219499,108897249
396874,273990777
33977,7504752185
737108,833119232
193537,428653543
980404,176521274
97589,3353600871
7499594,27750017
624537,936255951
167346,620125654
137453,928952392
1667741,29204907
79471,6383581388
737491,128897316
360257,319052467
112638,051772148
1049421,38015097
464724,248721263
2870378,8393896
34508,4736509022
75310,2452889242
1436753,99011214
578287,741322395
2694477,70468947
118952,330450098
1413577,81858098
1811780,43011767
135649,492966593
11436,7744497288
458711,525355732
518542,157800393
271017,161899678
5826045,08440363
951789,370242751
3299917,25109266
16359,3823165402
52818,3422800048
2602946,81478235
1619139,01986602
479507,140392106
34007,7906131259
2229710,95378911
417337,275641476
473535,169255913
178678,059384847
1821837,97320214
202306,83971577
5362476,36761864
279235,091218649
25133,6075440395
189272,648855911
599251,894234864
144475,206675172
1825692,31468983
501479,890429337
2985691,26420277
32113,7145936707
1651877,79800253
117997,028590439
232441,300268526
3555167,0732299
323057,221763216
8398915,47002834
582692,899078994
2420430,18314559
3515,2984513765
122574,060641524
881785,951329199
569158,78307021
798235,368179203
565509,957347377
424334,625352445
5193,45774637947
1366323,55445025
37728,0367096645
627159,397560579
200494,385571497
1735838,348426
275491,117399874
169059,319500423
218248,369060152
196232,636496349
43006,0263070809
719690,682737698
2202186,9990269
327014,61078593
204277,882504643
1480842,73199559
